in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
43,263,45,10,826
48,126,58,14,382
94,207,91,14,949
116,207,125,12,548
84,133,87,15,425
67,213,88,17,946
34,222,43,13,418
25,89,30,13,194
60,210,48,11,953
49,110,66,13,339
41,205,54,12,251
37,202,21,5,168
300,215,745,58,"1,021"
80,156,182,24,"1,281"
403,198,863,46,
183,162,161,12,187
91,212,78,6,0
80,227,95,24,"1,173"
43,100,54,14,187
8,104,23,2,29
11,163,10,4,0
73,119,42,1,150
24,98,582,2,73
17,152,32,11,139
74,182,87,14,"1,093"
16,149,10,5,168
202,119,318,38,96
35,109,41,14,211
52,107,15,1,325
0,0,143,38,0
71,135,50,1,294
20,185,13,8,197
113,149,245,23,27
242,142,165,9,310
115,123,184,18,354
22,33,34,7,184
19,108,24,9,212
154,123,410,2,81
94,111,151,4,82
16,159,15,6,100
10,107,6,3,62
372,117,843,4,69
291,184,537,45,727
77,58,247,1,311
82,145,65,16,"1,133"
65,48,138,1,102
241,127,458,37,332
68,21,24,0,259
281,137,"2,445",1,140
87,86,74,1,16
44,64,57,10,110
145,111,213,11,810
14,71,23,10,176
0,0,109,17,0
250,122,"3,394",19,
672,199,"3,421",20,
67,79,57,1,615
139,111,161,15,210
34,115,39,6,216
106,112,142,4,215
27,17,73,4,167
154,84,102,14,37
38,0,4,0,0
82,121,182,12,171
63,79,89,11,16
196,2,"4,053",5,0
37,55,32,0,272
105,64,169,8,529
36,32,31,1,26
32,93,8,2,5
42,80,58,3,169
386,144,707,28,
70,58,109,18,230
166,87,"1,056",1,
94,65,164,14,176
233,0,"4,095",9,0
94,85,68,1,84
216,108,331,26,154
47,74,80,14,194
12,16,18,4,93
300,65,"1,003",1,0
60,96,71,0,115
9,6,25,2,72
16,72,5,0,8
492,99,798,31,0
80,75,110,11,323
440,125,"1,800",0,
104,120,141,26,49
150,148,"2,703",22,"1,451"
1,52,8,0,"1,170"
57,97,35,0,429
29,76,24,0,162
28,89,29,5,82
19,45,0,0,10
2,107,8,0,0
69,145,69,2,478
49,105,63,1,0
58,156,42,1,236
89,143,"1,632",3,200
20,106,25,4,78
160,110,163,0,5
17,119,19,2,266
56,91,59,3,486
49,98,"2,394",5,204
8,166,4,4,34
6,40,6,6,202
384,135,"1,034",37,312
41,100,59,1,32
98,108,327,17,153
88,112,"2,163",5,519
69,113,695,0,458
7,6,0,0,48
2,106,4,2,184
21,52,6,1,0
101,32,"2,655",0,666
80,65,476,0,14
74,102,145,18,925
19,23,24,3,88
40,58,47,8,203
25,81,61,1,44
19,117,8,1,74
161,115,246,9,638
69,12,38,8,64
21,110,21,9,71
8,116,4,3,2
45,69,52,4,3
